,Stations,Address,lat,lng
226,GLOUCESTER Fire Station,"40 King Street, Gloucester NSW 2422",-32.0081099,151.9598157
227,KEMPSEY Fire Station,"78 Elbow St, Kempsey NSW 2240",-31.081004,152.828178
228,LAURIETON Fire Station,"33 Castle Street, Laurieton NSW 2443",-31.6457879,152.7961219
229,MACKSVILLE Fire Station,"26 Wallace Street, Macksville NSW 2447",-30.70769959999999,152.9190058
230,NAMBUCCA HEADS Fire Station,"8 Ken Howard Crescent, Nambucca Heads NSW 2448",-30.6350746,152.9795277
231,PORT MACQUARIE Fire Station,"5 Central Rd, Port Macquarie NSW 2444",-31.4443888,152.8933477
232,SAWTELL Fire Station,"140 Sawtell Road, Toormina NSW 2452",-30.3508046,153.0901485
233,SOUTH WEST ROCKS Fire Station,"31 Sturt Street, South West Rocks NSW 2431",-30.8926636,153.0398937
234,TAREE Fire Station,"75 Pulteney St Cnr Wynter Street, Taree NSW 2430",-31.9103627,152.4570882
235,TEA GARDENS Fire Station,"135 Marine Drive, Tea Gardens NSW 2324",-32.6695966,152.1645757
236,URUNGA Fire Station,"36 Bonville Street, Urunga NSW 2455",-30.4971684,153.0209986
237,WAUCHOPE Fire Station,"22 Young Street, Wauchope NSW 2446",-31.4556938,152.7308265
238,WINGHAM Fire Station,"22 Farquhar Street, Wingham NSW 2429",-31.8706107,152.37243
239,WOOLGOOLGA Fire Station,"1867 Solitary Islands Way, Woolgoolga NSW 2456",-30.1104881,153.1901482
240,ALSTONVILLE Fire Station,"1 Mellis Circuit, Alstonville NSW 2477",-28.8441745,153.4402354
241,BALLINA Fire Station,"60 Tamarind Drive, Ballina NSW 2478",-28.8530282,153.5566944
242,BANGALOW Fire Station,"56 Byron Street, Bangalow NSW 2479",-28.686426,153.5257522
243,BRUNSWICK HEADS Fire Station,"4 Fingal Street, Brunswick Heads NSW 2483",-28.5408861,153.5508954
244,BYRON BAY Fire Station,"3 Kingsley Street, Byron Bay NSW 2481",-28.6474225,153.613372
245,CASINO Fire Station,"43 Hickey Street, Casino NSW 2470",-28.8629279,153.0511159
246,CORAKI Fire Station,"16 Adams Street, Coraki NSW 2471",-28.9910688,153.2864303
247,EVANS HEAD Fire Station,"76 Woodburn Street, Evans Head NSW 2473",-29.1134657,153.4278951
248,GOONELLABAH Fire Station,"13 Taylor Avenue, Goonellabah NSW 2480",-28.8176294,153.3185264
249,GRAFTON Fire Station,"94 Prince Street, Grafton NSW 2460",-29.6891761,152.9355553
250,KINGSCLIFF Fire Station,"Marine Parade, Kingscliff NSW 2487",-28.2499303,153.5711715
251,KYOGLE Fire Station,"Bloore Street, Kyogle NSW 2474",-28.6216262,153.0025261
252,LISMORE Fire Station,"139-141 Molesworth Street, Lismore NSW 2480",-28.809491,153.2750798
253,MACLEAN Fire Station,"251 River Street, Maclean NSW 2463",-29.4573763,153.196886
254,MULLUMBIMBY Fire Station,"57 Dalley Street, Mullumbimby NSW 2482",-28.5524339,153.4995004
255,MURWILLUMBAH Fire Station,"133 Murwillumbah Street, Murwillumbah NSW 2484",-28.3261492,153.3954972
256,SOUTH GRAFTON Fire Station,"64 Wharf Street, South Grafton NSW 2460",-29.7049975,152.935969
257,TWEED HEADS Fire Station,"1 Dry Dock Road, Tweed Heads NSW 2485",-28.187436,153.5395336
258,BANORA POINT Fire Station,"4/23 Corporation Circuit, Tweed Heads South NSW 2486",-28.2051747,153.5389403
259,YAMBA Fire Station,"14 River Street, Yamba NSW 2464",-29.4383845,153.3591626
260,ARMIDALE Fire Station,"66 Barney Street, Armidale NSW 2350",-30.5177829,151.668256
261,BARRABA Fire Station,"73 Henry Street, Barraba NSW 2347",-30.3836635,150.6009723
262,BINGARA Fire Station,"44 Finch Street, Bingara NSW 2404",-29.8671146,150.5704369
263,BOGGABRI Fire Station,"175 Merton Street, Boggabri NSW 2382",-30.703342,150.0445114
264,COONABARABRAN Fire Station,"64 Cassilis Street, Coonabarabran NSW 2357",-31.2753879,149.2789932
265,GLEN INNES Fire Station,"202 Bourke Street, Glen Innes NSW 2370",-29.7389544,151.7375505
266,GUNNEDAH Fire Station,"96 Barber Street, Gunnedah NSW 2380",-30.9788339,150.2515372
