s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.2017412E+001, 4.2556428E+003,-1.0550864E+003,-3.1523206E+003,-1.8063471E+001,-4.2915898E+001, 0.0000000E+000, 0.0000000E+000,-8.2482589E+000,-1.2743496E+001, 2.3654792E-001, 2.3654792E-001
 2.3017813E+001, 4.2083828E+003,-1.0272410E+003,-3.1510222E+003,-1.8280801E+001,-4.2832895E+001, 0.0000000E+000, 0.0000000E+000,-2.6635359E+001,-3.0994195E+001, 2.3654792E-001, 2.3654792E-001
 2.4018213E+001, 4.2556778E+003,-1.0603272E+003,-3.1415745E+003,-1.8492791E+001,-4.2878721E+001, 0.0000000E+000, 0.0000000E+000,-8.9739503E+000,-7.5953334E+000, 2.3654792E-001, 2.3654792E-001
 2.5018614E+001, 4.2708121E+003,-1.0599317E+003,-3.1415652E+003,-1.8558566E+001,-4.2989017E+001, 0.0000000E+000, 0.0000000E+000, 1.0895528E+001, 7.7676143E+000, 2.3654792E-001, 2.3654792E-001
 2.6019014E+001, 4.2101615E+003,-1.0181286E+003,-3.1270488E+003,-1.8950078E+001,-4.2949632E+001, 0.0000000E+000, 0.0000000E+000, 1.3850834E+000, 3.0843429E+000, 2.3654792E-001, 2.3654792E-001
 2.7019415E+001, 4.2278667E+003,-1.0476236E+003,-3.1054714E+003,-1.8997205E+001,-4.2541814E+001, 0.0000000E+000, 0.0000000E+000, 2.0186804E+001, 1.3232733E+001, 2.3654792E-001, 2.3654792E-001
 2.8019815E+001, 4.3019317E+003,-1.0667332E+003,-3.1537691E+003,-1.9234869E+001,-4.2706839E+001, 0.0000000E+000, 0.0000000E+000, 2.1279322E+001, 1.9487658E+001, 2.3654792E-001, 2.3654792E-001
 2.9020216E+001, 4.2534617E+003,-1.0407489E+003,-3.1586777E+003,-1.9077075E+001,-4.2753215E+001, 0.0000000E+000, 0.0000000E+000,-5.5802335E+000,-7.7952597E+000, 2.3654792E-001, 2.3654792E-001
 3.0020617E+001, 4.2128482E+003,-1.0411411E+003,-3.1099771E+003,-1.9085856E+001,-4.2867320E+001, 0.0000000E+000, 0.0000000E+000, 1.1217156E+000,-2.2318680E-001, 2.3654792E-001, 2.3654792E-001
 3.1000175E+001, 4.2010429E+003,-1.0303981E+003,-3.1084635E+003,-1.9468652E+001,-4.2802857E+001, 0.0000000E+000, 0.0000000E+000, 4.1506316E+000,-9.0107045E-002, 2.3654792E-001, 2.3654792E-001
 3.2000576E+001, 4.1412238E+003,-9.9162446E+002,-3.1137080E+003,-1.9286197E+001,-4.2293435E+001, 0.0000000E+000, 0.0000000E+000,-1.3736056E+001,-2.5688285E+001, 2.3654792E-001, 2.3654792E-001
 3.3000977E+001, 4.2222605E+003,-1.0872573E+003,-3.0434490E+003,-1.8925776E+001,-4.1928793E+001, 0.0000000E+000, 0.0000000E+000, 1.9234524E+001, 3.0699583E+001, 2.3654792E-001, 2.3654792E-001
 3.4001377E+001, 4.3380161E+003,-1.0788470E+003,-3.1740813E+003,-1.9108641E+001,-4.2136188E+001, 0.0000000E+000, 0.0000000E+000, 2.6769442E+001, 2.3843018E+001, 2.3654792E-001, 2.3654792E-001
 3.5001778E+001, 4.2071423E+003,-1.0510786E+003,-3.0973877E+003,-2.0002587E+001,-4.1855769E+001, 0.0000000E+000, 0.0000000E+000, 8.2188784E+000,-3.1824363E+000, 2.3654792E-001, 2.3654792E-001
 3.6002178E+001, 4.2303427E+003,-1.0193862E+003,-3.1415376E+003,-1.9868733E+001,-4.2729211E+001, 0.0000000E+000, 0.0000000E+000, 1.0859508E+000, 6.8209275E+000, 2.3654792E-001, 2.3654792E-001
 3.7002579E+001, 4.1187905E+003,-1.0347401E+003,-3.0300468E+003,-1.8775546E+001,-4.1551240E+001, 0.0000000E+000, 0.0000000E+000,-4.1632212E-001,-6.3231954E+000, 2.3654792E-001, 2.3654792E-001
